Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority
AB1 0EH,No,57.107012,-2.237622,385705,801808,NJ857018,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,80,,S01006514,
AB1 0EJ,No,57.108255,-2.240618,385524,801947,NJ855019,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,83,,S01006514,
AB1 0EL,No,57.110386,-2.244396,385296,802185,NJ852021,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",,98,,S01006515,
AB1 0EN,No,57.10478,-2.240001,385560,801560,NJ855015,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,68,,S01006514,
AB1 0EP,No,57.104542,-2.246883,385143,801535,NJ851015,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",,76,,S01006515,
AB1 0EQ,No,57.108525,-2.258647,384432,801981,NJ844019,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",,106,,S01006515,
AB1 0ER,No,57.115959,-2.255892,384602,802808,NJ846028,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",,130,,S01006515,
AB1 0ES,No,57.123897,-2.274709,383466,803696,NJ834036,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",,100,,S01006515,
AB1 0ET,No,57.114643,-2.24946,384991,802660,NJ849026,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",,113,,S01006515,
AB1 0EU,No,57.103944,-2.240227,385546,801467,NJ855014,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,62,,S01006514,
